timestamp;acidez_day_tank;clorofila;degomagem_enzimatica_sabao_ika;degomagem_enzimatica_spin_test;clarificacao_cor_vermelha;clarificacao_clorofila;desodorizacao_acidez;desodorizacao_sabao;desodorizacao_clorofila;desodorizacao_cor_amarela;desodorizacao_cor_vermelha
11/08/2019 22:00;0;0;0;0;7,1;217;0,05;1,7;84;12;1
11/09/2019 00:00;1,63;854;790;0,1;7,8;138;0,05;1,7;85;11;1
11/09/2019 02:00;0;0;0;0;7,6;140;0,05;1,7;58;10;1
11/09/2019 04:00;0;0;0;0;7,6;173;0,05;1,5;86;9,9;0,9
11/09/2019 06:00;0;No events found,;0;0;7,6;165;0,05;1,8;92;9,9;0,9
11/09/2019 08:00;1,52;876;726;0;7,4;119;0,05;2;166;11;1,1
11/09/2019 10:00;0;0;0;0;7,8;133;0,05;0,9;62;10;0,9
11/09/2019 12:00;0;0;0;0;8;171;0,05;1,1;55;9,8;0,9
11/09/2019 14:00;0;0;0;0;6,6;154;0,05;0,9;65;9,9;0,9
11/09/2019 16:00;1,57;871;774;0;7,6;160;0,05;0,9;82;9,9;0,9
11/09/2019 18:00;0;0;0;0;7,9;147;0,04;0,9;66;9,9;0,8
11/09/2019 20:00;0;0;0;0;7,9;132;0,04;1,2;90;10;0,9
11/09/2019 22:00;0;0;0;0;7,1;138;0,04;0,9;55;9,9;0,8
11/10/2019 00:00;1,6;863;761;0,1;7,5;165;0,05;1,2;63;9,9;0,9
11/10/2019 02:00;0;0;0;0;7,4;166;0,05;1,4;69;9,6;0,8
11/10/2019 04:00;0;0;0;0;7,6;148;0,05;1,4;58;9,9;0,9
11/10/2019 06:00;0;No events found,;0;0;7,8;150;0,05;1,5;54;9,9;1
11/10/2019 08:00;1,56;846;806;0,1;8,1;160;0,05;1,5;57;11;1
11/10/2019 10:00;0;0;0;0;7,8;143;0,05;1,6;77;11;1
11/10/2019 12:00;0;0;0;0;8,1;139;0,05;1,5;56;9,9;0,8
11/10/2019 14:00;0;0;0;0;8,1;153;0,05;1,7;59;11;0,9
11/10/2019 16:00;1,52;833;794;0;7,8;145;0,05;1,2;64;11;1
11/10/2019 18:00;0;0;0;0;7,8;142;0,05;0,9;101;11;1
11/10/2019 20:00;0;0;0;0;7,6;136;0,05;0,9;69;11;0,9
11/10/2019 22:00;0;0;0;0;7,7;138;0,05;0,9;62;11;0,9
11/11/2019 00:00;1,5;839;777;0,1;8,2;140;0,05;0,9;65;9,9;0,9
11/11/2019 02:00;0;0;0;0;8,39;174;0,05;0,9;52;10;0,9
11/11/2019 04:00;0;0;0;0;8,1;141;0,05;1,2;60;13;1,2
11/11/2019 06:00;0;No events found,;0;0;6,6;166;0,05;0,9;56;9,4;0,8
11/11/2019 08:00;1,49;831;0;0;7,7;140;0,05;1,5;73;10;0,9
11/11/2019 10:00;0;0;0;0;7,6;123;0,05;1,8;48;9,8;0,9
11/11/2019 12:00;0;0;0;0;7,6;127;0,05;1,6;52;9,9;0,9
11/11/2019 14:00;0;0;0;0;7,4;131;0,05;1,7;98;9,9;0,9
11/11/2019 16:00;1,53;814;709;0;7,6;134;0,05;0,9;64;11;1
11/11/2019 18:00;0;0;0;0;7,6;102;0,05;1,2;57;11;0,9
11/11/2019 20:00;0;0;0;0;7,8;166;0,05;1,2;69;11;0,9
11/11/2019 22:00;0;0;0;0;7,2;186;0,05;1,4;112;10;0,9
11/12/2019 00:00;1,51;861;745;0,2;6,4;188;0,04;1,2;160;9,1;0,8
11/12/2019 02:00;0;0;0;0;6,4;153;0,05;1,2;117;9,9;0,9
11/12/2019 04:00;0;0;0;0;6,9;161;0,05;1,4;72;9,4;0,8
11/12/2019 06:00;0;No events found,;0;0;No events found,;No events found,;No events found,;No events found,;No events found,;No events found,;No events found,
11/12/2019 08:00;1,55;859;756;0,1;7;174;0,05;0,9;62;9,9;0,9
11/12/2019 10:00;0;0;0;0;7,6;126;0,05;1,8;77;11;1
11/12/2019 12:00;0;0;0;0;7,8;138;0,05;1,8;86;11;1,1
11/12/2019 14:00;0;0;0;0;7;136;0,05;1,5;98;11;1,1
11/12/2019 16:00;1,52;866;822;0,1;8,1;126;0,04;1,2;86;11;1,2
11/12/2019 18:00;0;0;0;0;7,6;125;0,05;1,5;80;11;1,2
11/12/2019 20:00;0;0;0;0;7,8;132;0,05;1,8;76;11;0,9
11/12/2019 22:00;0;0;0;0;7,6;111;0,05;1,3;72;11;1
11/13/2019 0:00;1,42;892;798;0,1;7,9;125;0,05;0,9;48;11;1,1
11/13/2019 2:00;0;0;0;0;8;132;0,05;1,2;46;11;1,1
11/13/2019 4:00;0;0;0;0;8,1;130;0,05;1,2;73;12;1
11/13/2019 6:00;0;No events found,;0;0;No events found,;No events found,;No events found,;No events found,;No events found,;No events found,;No events found,
11/13/2019 8:00;1,64;955;688;0,1;7,1;95;0,05;1,7;68;11;1
11/13/2019 10:00;0;0;0;0;8,1;132;0,05;1,8;56;11;0,9
11/13/2019 12:00;0;0;0;0;8,3;125;0,05;2,1;70;11;1,1
11/13/2019 14:00;0;0;0;0;7,1;132;0,05;1,2;69;11;1
11/13/2019 16:00;1,6;949;728;0,1;7,9;129;0,05;0,9;99;11;1
11/13/2019 18:00;0;0;0;0;8;134;0,05;1,2;72;12;1
11/13/2019 20:00;0;0;0;0;7,8;130;0,05;0,9;52;11;0,9
11/13/2019 22:00;0;0;0;0;7,8;108;0,05;1,2;82;12;1,1
