data hora	measurement_desc	pi_value1	plant_name
2019-09-11 16:00:00	YellowColor_Oil_Deodorizing	9.9	Primavera do Leste
2019-09-11 18:00:00	YellowColor_Oil_Deodorizing	9.9	Primavera do Leste
2019-09-11 20:00:00	YellowColor_Oil_Deodorizing	10	Primavera do Leste
2019-09-11 22:00:00	YellowColor_Oil_Deodorizing	9.9	Primavera do Leste
2019-10-11 00:00:00	YellowColor_Oil_Deodorizing	9.9	Primavera do Leste
2019-10-11 02:00:00	YellowColor_Oil_Deodorizing	9.6	Primavera do Leste
2019-10-11 04:00:00	YellowColor_Oil_Deodorizing	9.9	Primavera do Leste
2019-10-11 06:00:00	YellowColor_Oil_Deodorizing	9.9	Primavera do Leste
2019-10-11 08:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-10-11 10:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-10-11 12:00:00	YellowColor_Oil_Deodorizing	9.9	Primavera do Leste
2019-10-11 14:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-10-11 16:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-10-11 18:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-10-11 20:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-10-11 22:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-11-11 00:00:00	YellowColor_Oil_Deodorizing	9.9	Primavera do Leste
2019-11-11 02:00:00	YellowColor_Oil_Deodorizing	10	Primavera do Leste
2019-11-11 04:00:00	YellowColor_Oil_Deodorizing	13	Primavera do Leste
2019-11-11 06:00:00	YellowColor_Oil_Deodorizing	9.4	Primavera do Leste
2019-11-11 08:00:00	YellowColor_Oil_Deodorizing	10	Primavera do Leste
2019-11-11 10:00:00	YellowColor_Oil_Deodorizing	9.8	Primavera do Leste
2019-11-11 12:00:00	YellowColor_Oil_Deodorizing	9.9	Primavera do Leste
2019-11-11 14:00:00	YellowColor_Oil_Deodorizing	9.9	Primavera do Leste
2019-11-11 16:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-11-11 18:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-11-11 20:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-11-11 22:00:00	YellowColor_Oil_Deodorizing	10	Primavera do Leste
2019-12-11 00:00:00	YellowColor_Oil_Deodorizing	9.1	Primavera do Leste
2019-12-11 02:00:00	YellowColor_Oil_Deodorizing	9.9	Primavera do Leste
2019-12-11 04:00:00	YellowColor_Oil_Deodorizing	9.4	Primavera do Leste
2019-12-11 08:00:00	YellowColor_Oil_Deodorizing	9.9	Primavera do Leste
2019-12-11 10:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-12-11 12:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-12-11 14:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-12-11 16:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-12-11 18:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-12-11 20:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-12-11 22:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-11-13 00:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-11-13 02:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-11-13 04:00:00	YellowColor_Oil_Deodorizing	12	Primavera do Leste
2019-11-13 08:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-11-13 10:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-11-13 12:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-11-13 14:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-11-13 16:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-11-13 18:00:00	YellowColor_Oil_Deodorizing	12	Primavera do Leste
2019-11-13 20:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-11-13 22:00:00	YellowColor_Oil_Deodorizing	12	Primavera do Leste
2019-11-14 00:00:00	YellowColor_Oil_Deodorizing	12	Primavera do Leste
2019-11-14 02:00:00	YellowColor_Oil_Deodorizing	12	Primavera do Leste
2019-11-14 04:00:00	YellowColor_Oil_Deodorizing	12	Primavera do Leste
2019-11-14 06:00:00	YellowColor_Oil_Deodorizing	12	Primavera do Leste
2019-11-14 08:00:00	YellowColor_Oil_Deodorizing	15	Primavera do Leste
2019-11-14 10:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-11-14 12:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-11-14 14:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-11-14 16:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-11-14 18:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-11-14 20:00:00	YellowColor_Oil_Deodorizing	12	Primavera do Leste
2019-11-14 22:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-11-15 00:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-11-15 02:00:00	YellowColor_Oil_Deodorizing	12	Primavera do Leste
2019-11-15 04:00:00	YellowColor_Oil_Deodorizing	12	Primavera do Leste
2019-11-15 06:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-11-15 08:00:00	YellowColor_Oil_Deodorizing	10	Primavera do Leste
2019-11-15 10:00:00	YellowColor_Oil_Deodorizing	9.4	Primavera do Leste
2019-11-15 12:00:00	YellowColor_Oil_Deodorizing	9.9	Primavera do Leste
2019-11-15 14:00:00	YellowColor_Oil_Deodorizing	9.9	Primavera do Leste
2019-11-15 16:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-11-15 18:00:00	YellowColor_Oil_Deodorizing	11	Primavera do Leste
2019-11-15 20:00:00	YellowColor_Oil_Deodorizing	12	Primavera do Leste
2019-11-15 22:00:00	YellowColor_Oil_Deodorizing	12	Primavera do Leste
2019-11-16 00:00:00	YellowColor_Oil_Deodorizing	12	Primavera do Leste
2019-11-16 02:00:00	YellowColor_Oil_Deodorizing	12	Primavera do Leste
